# sr=500,duration=28.247583
-0.003082,0.002258
-0.005096,0.001221
-0.002533,0.003021
0.001038,0.006958
-0.011444,0.004211
-0.019440,0.013184
-0.011017,0.017456
-0.010559,0.018402
-0.017914,0.016327
-0.020844,0.024078
-0.019287,0.021118
-0.013672,0.023743
-0.013611,0.010925
-0.012665,0.025116
-0.016663,0.026672
-0.022949,0.013184
-0.013214,0.019775
-0.014526,0.010254
-0.021606,0.013763
-0.011932,0.020844
-0.014496,0.017517
-0.020020,0.027710
-0.024536,0.023224
-0.032776,0.034302
-0.034637,0.023102
-0.027496,0.029816
-0.020721,0.018494
-0.035614,0.028015
-0.029175,0.033905
-0.041962,0.047089
-0.040009,0.029694
-0.034973,0.044739
-0.030548,0.036652
-0.038696,0.034760
-0.052856,0.049835
-0.039948,0.041168
-0.056030,0.046997
-0.059174,0.062012
-0.058838,0.058014
-0.062042,0.069946
-0.056244,0.063721
-0.090698,0.095551
-0.077393,0.083038
-0.078918,0.072144
-0.051422,0.074005
-0.058289,0.069977
-0.054657,0.044617
-0.046753,0.031250
-0.041626,0.045807
-0.038208,0.038574
-0.044403,0.035034
-0.051880,0.039062
-0.043457,0.040161
-0.048584,0.034302
-0.040894,0.034760
-0.028748,0.034515
-0.042572,0.028107
-0.035645,0.046753
-0.043976,0.043549
-0.060455,0.035400
-0.042267,0.036530
-0.044373,0.024963
-0.033905,0.030457
-0.030060,0.033508
-0.033661,0.028275
-0.031754,0.020798
-0.030029,0.029831
-0.025208,0.024246
-0.025574,0.055267
-0.039017,0.056320
-0.044861,0.040512
-0.057541,0.029221
-0.059845,0.048981
-0.045242,0.041611
-0.028122,0.048157
-0.031525,0.041550
-0.047394,0.032455
-0.043839,0.042389
-0.035233,0.044083
-0.047943,0.058945
-0.054535,0.042770
-0.039413,0.056458
-0.033096,0.046646
-0.051315,0.045975
-0.047272,0.051529
-0.025345,0.020370
-0.053604,0.031311
-0.041138,0.040619
-0.037033,0.042160
-0.072495,0.060226
-0.057083,0.061218
-0.072708,0.061371
-0.049820,0.098846
-0.075439,0.071259
-0.096298,0.108826
-0.704254,0.749557
-0.753098,0.822952
-0.733429,0.621048
-0.231339,0.379379
-0.331818,0.275558
-0.346313,0.327209
-0.257248,0.259171
-0.144592,0.153122
-0.179108,0.281891
-0.528168,0.418594
-0.466232,0.418549
-0.469788,0.487534
-0.595886,0.466705
-0.340332,0.377838
-0.603317,0.340805
-0.338776,0.276123
-0.392105,0.281296
-0.388596,0.387192
-0.107758,0.293915
-0.363358,0.243835
-0.294693,0.281219
-0.368149,0.391129
-0.303543,0.393204
-0.404251,0.255493
-0.499252,0.410019
-0.110931,0.257309
-0.490570,0.331665
-0.365860,0.223541
-0.415665,0.214981
-0.252060,0.342758
-0.077377,0.221924
-0.340393,0.264084
-0.299393,0.296539
-0.342377,0.251587
-0.278809,0.293762
-0.254440,0.126877
-0.337524,0.230377
-0.170578,0.228668
-0.305420,0.228394
-0.270340,0.219910
-0.353134,0.146683
-0.249634,0.230774
-0.070404,0.244232
-0.332474,0.211990
-0.231018,0.207489
-0.315826,0.138672
-0.222610,0.203476
-0.086609,0.168671
-0.298416,0.168289
-0.198151,0.167145
-0.274353,0.153824
-0.195602,0.176422
-0.266922,0.121429
-0.191345,0.185135
-0.072220,0.175308
-0.282516,0.161224
-0.196152,0.211670
-0.307953,0.236725
-0.289551,0.308868
-0.084534,0.273666
-0.332367,0.254395
-0.316452,0.279327
-0.444489,0.292023
-0.247681,0.474319
-0.396988,0.481384
-0.421280,0.512924
-0.290070,0.481506
-0.303177,0.376709
-0.282730,0.373215
-0.216263,0.334366
-0.254562,0.276474
-0.237396,0.401428
-0.333466,0.333481
-0.315933,0.453201
-0.302414,0.483841
-0.241150,0.425934
-0.266083,0.184143
-0.344254,0.406662
-0.088440,0.347687
-0.297073,0.191040
-0.373062,0.162674
-0.094482,0.385117
-0.219711,0.254593
-0.218719,0.399994
-0.221649,0.202255
-0.151077,0.159775
-0.315689,0.167877
-0.085083,0.273819
-0.127396,0.197159
-0.120789,0.189911
-0.154846,0.113266
-0.085999,0.066040
-0.280746,0.089020
-0.159973,0.155014
-0.177963,0.176346
-0.199707,0.186890
-0.041641,0.115082
-0.169968,0.121872
-0.183380,0.128723
-0.141861,0.019394
-0.031891,0.298248
-0.067932,0.070694
-0.085220,0.198456
-0.155991,0.210785
-0.181641,0.065887
-0.170563,0.073013
-0.121674,0.242111
-0.061417,0.089035
-0.154373,0.225037
-0.080215,0.267624
-0.202744,0.077957
-0.212448,0.097427
-0.205856,0.131836
-0.024170,0.162750
-0.163177,0.227249
-0.013702,0.246124
-0.218292,0.108932
-0.186539,0.103424
-0.170563,0.054413
-0.119308,0.234116
-0.084351,0.093948
-0.106186,0.114899
-0.102463,0.245880
-0.232986,0.036484
-0.239883,0.100021
-0.168137,0.132721
-0.088593,0.167831
-0.128723,0.169601
-0.056366,0.189377
-0.210083,0.141052
-0.209045,0.039429
-0.205063,0.150131
-0.083450,0.165161
-0.171585,0.156860
-0.012512,0.180511
-0.161865,0.201904
-0.219681,0.077957
-0.179901,0.072754
-0.106491,0.218445
-0.162537,0.219635
-0.084000,0.102966
-0.120941,0.269836
-0.165833,0.090363
-0.207901,0.090576
-0.166397,0.184631
-0.142319,0.181152
-0.158340,0.115036
-0.096436,0.256577
-0.079269,0.128052
-0.206787,0.088486
-0.191467,0.125153
-0.108292,0.134064
-0.160065,0.148865
-0.156662,0.183502
-0.020752,0.220673
-0.205765,0.056625
-0.143829,0.125031
-0.135574,0.130417
-0.125259,0.128021
-0.125626,0.109436
-0.055237,0.266785
-0.130280,0.108582
-0.166260,0.102493
-0.157852,0.142715
-0.089706,0.094315
-0.099655,0.102402
-0.098679,0.220322
-0.039215,0.128769
-0.231369,0.072556
-0.124466,0.102524
-0.179443,0.084503
-0.168457,0.130157
-0.113663,0.165375
-0.039459,0.181656
-0.188187,0.128342
-0.120636,0.060684
-0.143387,0.125732
-0.172363,0.042221
-0.128952,0.142151
-0.063431,0.175232
-0.123077,0.167389
-0.175430,0.098068
-0.145630,0.120529
-0.153336,0.062241
-0.166290,0.124649
-0.084106,0.180969
-0.069641,0.150772
-0.156799,0.090973
-0.104034,0.074097
-0.091568,0.050018
-0.224991,0.075760
-0.066147,0.177307
-0.103180,0.166809
-0.119568,0.154953
-0.122589,0.086716
-0.124817,0.088318
-0.183960,0.037323
-0.127228,0.151764
-0.062393,0.139481
-0.104736,0.120102
-0.082092,0.091965
-0.112823,0.062439
-0.148148,0.029602
-0.166061,0.115097
-0.074265,0.117722
-0.059174,0.145782
-0.102509,0.097092
-0.130722,0.078720
-0.097900,0.024277
-0.185608,0.078735
-0.066833,0.079620
-0.083160,0.124619
-0.060211,0.127304
-0.090881,0.102631
-0.128464,0.075089
-0.152359,0.048370
-0.099304,0.064148
-0.066788,0.132431
-0.047089,0.100174
-0.094193,0.128998
-0.095398,0.084015
-0.177902,0.055298
-0.148773,0.053619
-0.085846,0.098251
-0.079758,0.160843
-0.081451,0.132950
-0.102173,0.144272
-0.120575,0.047989
-0.216858,0.055328
-0.068558,0.086700
-0.040405,0.098740
-0.116440,0.153107
-0.059845,0.097137
-0.123871,0.089447
-0.174042,0.096283
-0.119003,0.044800
-0.118683,0.125427
-0.082642,0.082870
-0.072922,0.151581
-0.108414,0.133362
-0.189301,0.072144
-0.171951,0.077209
-0.162552,0.095001
-0.110550,0.120407
-0.105286,0.105972
-0.085510,0.122391
-0.154251,0.139084
-0.151215,0.018585
-0.150589,0.071991
-0.100098,0.073868
-0.127502,0.111191
-0.053741,0.130417
-0.160400,0.106781
-0.159424,0.077637
-0.162933,0.023911
-0.128784,0.100784
-0.133118,0.068085
-0.065857,0.093536
-0.104004,0.130630
-0.122818,0.066055
-0.146774,0.038300
-0.142700,0.052597
-0.134293,0.081894
-0.110153,0.082047
-0.085876,0.109528
-0.120911,0.106064
-0.148438,0.035477
-0.132950,0.058395
-0.129044,0.053772
-0.100189,0.035248
-0.080185,0.125168
-0.057327,0.108017
-0.137039,0.063171
-0.144043,0.054016
-0.155060,0.061371
-0.110123,0.072250
-0.069794,0.083603
-0.063110,0.118759
-0.103897,0.067871
-0.108673,0.047272
-0.133575,0.040619
-0.118408,0.036575
-0.092300,0.063141
-0.086823,0.125473
-0.085815,0.089844
-0.133728,0.053925
-0.105988,0.031372
-0.142929,0.036926
-0.078247,0.045761
-0.079422,0.087967
-0.061066,0.096542
-0.091171,0.057587
-0.114258,0.061890
-0.128494,0.029648
-0.116241,0.051300
-0.115875,0.084091
